Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,IUC,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Origem,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Emissões CO2,Livro de Revisões completo,Não fumador,Consumo Extra Urbano,Sub-modelo,Autonomia,Capacidade da bateria,Bateria,ou até,IVA Discriminado,IVA dedutível,Consumo Combinado,Garantia de Fábrica até,Consumo,Site,Portugal
Profissional,Peugeot,208,1.6 BlueHDi Allure,Diesel,Março,2017,170 000 km,1 560 cm3,75 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,950 km,145 €,Sim,24/03/2024,18 Meses,1,Nacional,Sim,"4,20 l/100km",Usados,10 950        EUR,8089781830,26 Julho 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,208,1.2 PureTech Style,Gasolina,Junho,2018,45 000 km,1 199 cm3,82 cv,,,,Utilitário,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,110 €,,30/06/2024,,1,Nacional,Sim,"5,50 l/100km",Usados,12 990        EUR,8090102753,26 Julho 2023,104 g/km,Sim,Sim,"3,90 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,318,d Touring,Diesel,Setembro,2012,216 499 km,1 995 cm3,143 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,,,,18 Meses,1,Nacional,Sim,,Usados,12 450        EUR,8090068573,25 Julho 2023,,,,,Série 3,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,2.0 HDi Executive,Diesel,Março,2010,172 000 km,1 997 cm3,150 cv,,Sim,Sim,Monovolume,Preto,Metalizado,Manual,6,5,5,Classe 1,,,,,,18 Meses,1,,Sim,,Usados,9 950        EUR,8088829669,21 Julho 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V40,2.0 D2 Momentum Eco,Diesel,Novembro,2017,176 000 km,1 969 cm3,120 cv,Sim,,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,,,,,18 Meses,1,Nacional,Sim,,Usados,14 990        EUR,8089308950,26 Julho 2023,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Intens,Eléctrico,Abril,2015,86 993 km,,88 cv,Sim,Sim,Sim,Citadino,Branco,,Automática,,5,5,,Tracção dianteira,,,,,18 Meses,,Importado,Sim,,Usados,14 900        EUR,8089916763,26 Julho 2023,,,,,,170 km,22 kWh,Própria,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,Standard,Gasolina,Outubro,2010,170 723 km,1 598 cm3,122 cv,Sim,Sim,Sim,Pequeno citadino,Verde,,Manual,6,3,,,,,,,,18 Meses,,,Sim,"6,90 l/100km",Usados,10 900        EUR,8090077686,26 Julho 2023,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Junho,2019,70 000 km,1 242 cm3,69 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,3,4,,,,,,,18 Meses,,Nacional,Sim,,Usados,12 900        EUR,8088496439,26 Julho 2023,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,208,1.6 BlueHDi Style,Diesel,Maio,2017,117 258 km,1 560 cm3,100 cv,Sim,,,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,,,,Sim,"3,80 l/100km",Usados,11 600        EUR,8089918281,26 Julho 2023,79 g/km,Sim,Sim,"3,20 l/100km",,,,,150 000 km,,,,,,StandVirtual,Yes
Particular,Volvo,XC 60,2.4 D5 Summum AWD Start/Stop,Diesel,Março,2010,325 000 km,2 400 cm3,205 cv,,,,SUV / TT,Preto,,Manual,,5,,,,,,,31/03/2024,,,,Sim,"8,90 l/100km",Usados,9 900        EUR,8090069735,26 Julho 2023,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,2008,1.6 BlueHDi Allure,Diesel,Janeiro,2015,70 000 km,1 560 cm3,100 cv,Sim,,,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,1 000 km,,,07/01/2024,,,Nacional,Sim,"3,90 l/100km",Usados,13 999        EUR,8089851891,26 Julho 2023,97 g/km,Sim,Sim,"3,30 l/100km",,,,,,,,,,,StandVirtual,Yes
Particular,Citroën,C4 Grand Picasso,,Diesel,Novembro,2010,224 000 km,1 997 cm3,138 cv,Sim,,,Monovolume,Cinzento,Metalizado,Automática,,5,7,,Tracção dianteira,,,,,,,,Sim,,Usados,8 000        EUR,8090032623,24 Julho 2023,135 g/km,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,D,Diesel,Setembro,2014,79 548 km,1 496 cm3,95 cv,,Sim,Sim,Citadino,Vermelho,,Manual,6,3,4,Classe 1,Tracção dianteira,,,,,18 Meses,1,Nacional,Sim,"4,30 l/100km",Usados,13 999        EUR,8088708020,26 Julho 2023,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Maio,2019,65 000 km,898 cm3,90 cv,,Sim,Sim,Utilitário,Branco,,Manual,5,5,5,Classe 1,Tracção dianteira,,108 €,,,18 Meses,1,Nacional,Sim,"6,30 l/100km",Usados,13 950        EUR,8090079084,26 Julho 2023,,Sim,Sim,"4,20 l/100km",,,,,,Sim,,,,,StandVirtual,Yes
Profissional,BMW,318,d Navigation,Diesel,Setembro,2011,145 545 km,1 995 cm3,143 cv,Sim,Sim,Sim,Sedan,Preto,Metalizado,Manual,6,4,5,Classe 1,Tracção traseira,,,,,18 Meses,1,Nacional,Sim,,Usados,14 990        EUR,8090115155,26 Julho 2023,,Sim,Sim,,Série 3,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech Signature,Gasolina,Maio,2019,56 932 km,1 199 cm3,82 cv,,Sim,Sim,Citadino,Cinzento,,Manual,5,5,5,,Tracção dianteira,,,,,18 Meses,,,,"5,80 l/100km",Usados,14 980        EUR,8089806022,26 Julho 2023,132 g/km,,,"4,20 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.3 TCe Limited,Gasolina,Junho,2019,40 900 km,1 332 cm3,115 cv,Sim,Sim,Sim,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,,,,,,18 Meses,,Nacional,Sim,,Usados,20 250        EUR,8087107462,26 Julho 2023,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Arona,1.0 TGI Xcellence,GNC,Setembro,2020,23 166 km,999 cm3,90 cv,,Sim,Sim,SUV / TT,Branco,,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,18 Meses,,,Sim,,Usados,17 980        EUR,8089850455,26 Julho 2023,,Sim,Sim,,,,,,,Sim,Sim,,,,StandVirtual,Yes
Particular,BMW,420 Gran Coupé,d Line Sport,Diesel,Abril,2016,89 500 km,1 995 cm3,190 cv,,,,Sedan,Branco,,Manual,7,5,5,Classe 1,,,235 €,,15/04/2024,,1,Nacional,Sim,,Usados,26 500        EUR,8088707739,24 Julho 2023,,Sim,Sim,,Série 4,,,,,,,,,,StandVirtual,Yes
Particular,VW,Sharan,2.0 TDI Blue Highline DSG,Diesel,Fevereiro,2017,108 000 km,1 968 cm3,150 cv,,,,Monovolume,Cinzento,Metalizado,Automática,6,5,7,Classe 1,Tracção dianteira,,,,27/02/2025,,2,Nacional,Sim,"5,90 l/100km",Usados,29 500        EUR,8090109060,24 Julho 2023,137 g/km,Sim,Sim,"4,70 l/100km",,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,GLA 45 AMG,4Matic 7G-DCT Edition 1,Gasolina,Dezembro,2014,162 000 km,1 991 cm3,360 cv,Sim,,,SUV / TT,Cinzento,Mate,Automática,7,5,5,Classe 1,Integral,56 km,239 €,,31/12/2024,,2,Importado,Sim,"11,30 l/100km",Usados,30 000        EUR,8089362746,26 Julho 2023,175 g/km,Sim,,6 l/100km,Classe GLA,,,,,,,7 l/100km,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLS 250,CDi BlueEfficiency Shooting Brake,Diesel,Outubro,2012,242 498 km,2 143 cm3,204 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,250 €,Sim,,18 Meses,2,Nacional,Sim,"6,30 l/100km",Usados,23 890        EUR,8088611392,26 Julho 2023,143 g/km,Sim,Sim,,Classe CLS,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Kuga,1.5 TDCi Business,Diesel,Janeiro,2018,153 082 km,1 499 cm3,120 cv,Sim,,Sim,SUV / TT,Cinzento,,Manual,,5,5,,,,,,,18 Meses,1,Nacional,,,Usados,16 490        EUR,8088015073,26 Julho 2023,,Sim,Sim,,,,,,,Sim,Sim,,,,StandVirtual,Yes
Profissional,Opel,Grandland X,1.5 CDTI Ultimate AT,Diesel,Junho,2019,70 818 km,1 499 cm3,130 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,6,5,5,,Tracção dianteira,,,,,18 Meses,,Nacional,Sim,"4,70 l/100km",Usados,26 990        EUR,8089632973,26 Julho 2023,157 g/km,,,"4,10 l/100km",,,,,,,,,,,StandVirtual,Yes
Particular,Audi,A6 Avant,2.0 TDi Advance S tronic,Diesel,Maio,2015,108 600 km,1 968 cm3,190 cv,,,,Carrinha,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,215 €,,,,2,Nacional,,"5,30 l/100km",Usados,26 750        EUR,8089890938,26 Julho 2023,119 g/km,Sim,Sim,"4,10 l/100km",,,,,,,,,,,StandVirtual,Yes
Particular,Opel,Grandland,1.2 T Design & Tech AT,Gasolina,Novembro,2022,12 000 km,1 199 cm3,130 cv,,,,SUV / TT,Azul,Metalizado,Automática,8,5,5,Classe 2,Tracção dianteira,,130 €,,04/05/2026,,1,Importado,Sim,,Usados,29 900        EUR,8090106037,24 Julho 2023,132 g/km,Sim,Sim,,,,,,,,,,09/09/2025,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 250,BlueTEC Elegance,Diesel,Março,2015,231 000 km,2 143 cm3,204 cv,Sim,Sim,Sim,Sedan,Cinzento,,Manual,6,4,5,Classe 1,,,,Sim,,18 Meses,,Nacional,Sim,,Usados,26 500        EUR,8089160059,24 Julho 2023,,,Sim,,Classe E,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.6 dCi GT Line J18,Diesel,Março,2017,120 000 km,1 598 cm3,130 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,36 Meses,1,,Sim,"4,60 l/100km",Usados,18 990        EUR,8088835295,26 Julho 2023,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Puma,1.0 EcoBoost MHEV ST-Line X,Gasolina,Janeiro,2023,970 km,998 cm3,155 cv,Sim,Sim,Sim,SUV / TT,Vermelho,Metalizado,Manual,6,5,,Classe 1,Tracção dianteira,,"108,32 €",,,36 Meses,,Nacional,Sim,"5,10 l/100km",Usados,29 500        EUR,8089496953,26 Julho 2023,,,Sim,,,,,,,,,,20/01/2026,,StandVirtual,Yes
Particular,MINI,Cooper,SD,Diesel,Agosto,2015,180 000 km,1 995 cm3,170 cv,Sim,Sim,,Utilitário,Cinzento,Metalizado,Manual,6,5,5,,Tracção dianteira,,,Sim,,,,Nacional,Sim,5 l/100km,Usados,21 500        EUR,8089711303,24 Julho 2023,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Março,2017,159 478 km,1 598 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,,,,,18 Meses,1,Nacional,Sim,"4,70 l/100km",Usados,15 900        EUR,8089494145,26 Julho 2023,109 g/km,Sim,,,,,,,,Sim,,,,,StandVirtual,Yes
Profissional,MINI,Clubman,Cooper SD Auto,Diesel,Março,2021,17 122 km,1 995 cm3,190 cv,Sim,Sim,Sim,Carrinha,Azul,Metalizado,Automática,8,6,5,Classe 1,,,,Sim,,18 Meses,,Nacional,Sim,,Usados,39 990        EUR,8088073015,26 Julho 2023,,,,,,,,,,Sim,,,01/01/2023,,StandVirtual,Yes
Particular,Ford,Explorer,,Híbrido (Gasolina),Março,2016,40 000 km,2 956 cm3,457 cv,,,,SUV / TT,Prateado,Metalizado,Automática,,5,7,,Integral,,,,16/03/2024,,,Importado,Sim,,Usados,37 500        EUR,8090069636,26 Julho 2023,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Kauai,EV 64kWh Premium,Eléctrico,Março,2021,28 000 km,,204 cv,Sim,,Sim,SUV / TT,Preto,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,550 km,,,,36 Meses,,,Sim,,Usados,31 500        EUR,8089153024,25 Julho 2023,,,,,,484 km,64 kWh,,,Sim,Sim,,,"14,70 kWh/100km",StandVirtual,Yes
Particular,BMW,420 Gran Coupé,d xDrive Pack M Auto,Diesel,Março,2016,177 000 km,1 995 cm3,190 cv,,,,Coupé,Cinzento,Metalizado,Automática,8,5,5,Classe 1,Integral,,,Sim,17/03/2024,,2,Importado,Sim,"5,90 l/100km",Usados,33 000        EUR,8090113171,25 Julho 2023,126 g/km,,Sim,"4,50 l/100km",Série 4,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Corolla Touring Sports,1.8 Hybrid Comfort+P.Sport,Híbrido (Gasolina),Julho,2021,39 772 km,1 798 cm3,122 cv,Sim,Sim,Sim,Carrinha,Preto,,Automática,,5,,,,,,,,59 Meses,,Nacional,,,Usados,31 000        EUR,8088355628,26 Julho 2023,85 g/km,,,,,,,,,,,"3,80 l/100km",15/07/2028,,StandVirtual,Yes
Profissional,BMW,520,d Auto,Diesel,Junho,2017,119 243 km,1 995 cm3,190 cv,Sim,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,,4,5,Classe 1,,,"226,98 €",,,24 Meses,1,Nacional,Sim,,Usados,32 500        EUR,8087941041,26 Julho 2023,108 g/km,Sim,Sim,,Série 5,,,,,Sim,,,,,StandVirtual,Yes
Profissional,VW,T-Roc,1.0 TSI Style,Gasolina,Janeiro,2023,4 300 km,999 cm3,110 cv,,Sim,Sim,SUV / TT,Cinzento,,Manual,,5,5,,,,,,,36 Meses,1,Nacional,,,Usados,30 900        EUR,8089915547,26 Julho 2023,,,,,,,,,,Sim,,,,,StandVirtual,Yes
Profissional,BMW,X2,20 d xDrive Auto X Pack M,Diesel,Fevereiro,2018,140 000 km,1 995 cm3,190 cv,Sim,Sim,Sim,SUV / TT,Branco,,Automática,8,5,5,Classe 1,Integral,,,,,18 Meses,,,Sim,,Usados,34 900        EUR,8089965550,26 Julho 2023,138 g/km,Sim,Sim,,Série X,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf,2.0 TSi GTi DSG Performance,Gasolina,Março,2017,65 000 km,1 984 cm3,230 cv,,Sim,,Utilitário,Branco,Metalizado,Automática,,5,5,,,,,,,18 Meses,,Nacional,Sim,,Usados,32 500        EUR,8088920257,26 Julho 2023,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Clubman,One D 4Business Auto,Diesel,Janeiro,2020,54 205 km,1 496 cm3,116 cv,Sim,Sim,Sim,Carrinha,Cinzento,,Automática,,6,5,,,,,,,18 Meses,1,Nacional,,,Usados,32 900        EUR,8089944232,26 Julho 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,330,e Auto,Híbrido (Gasolina),Junho,2020,62 083 km,1 998 cm3,292 cv,Sim,Sim,,Sedan,Prateado,,Automática,,4,5,,,,,,,18 Meses,1,Nacional,,,Usados,36 500        EUR,8089141487,26 Julho 2023,,,,,Série 3,,,,,,Sim,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,C 300,AMG Line,Gasolina,Agosto,2019,48 000 km,1 991 cm3,258 cv,,Sim,,Sedan,Vermelho,Metalizado,Automática,,3,5,,,,,,,18 Meses,,Nacional,Sim,,Usados,41 900        EUR,8089487837,26 Julho 2023,,Sim,,,Classe C,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,C 220,d Station 9G-TRONIC Avantgarde,Diesel,Dezembro,2019,116 000 km,1 950 cm3,194 cv,,,,Carrinha,Branco,,Automática,9,5,5,,Tracção traseira,,,Sim,,,,,Sim,,Usados,36 450        EUR,8090058401,24 Julho 2023,,Sim,Sim,,Classe C,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.5 BlueHDi Allure EAT8,Diesel,Outubro,2018,59 320 km,1 499 cm3,130 cv,Sim,Sim,Sim,Monovolume,Branco,,Automática,,5,7,,,,,,,18 Meses,,Nacional,Sim,"4,50 l/100km",Usados,31 990        EUR,8088213945,26 Julho 2023,,,,,,,,,,Sim,,,,,StandVirtual,Yes
Profissional,VW,Passat Variant,1.4 TSI GTE Plug-in,Híbrido (Gasolina),Setembro,2021,37 290 km,1 395 cm3,218 cv,Sim,Sim,Sim,Carrinha,Cinzento,,Automática,,5,5,,,,,,,18 Meses,1,Nacional,,,Usados,36 900        EUR,8089721287,26 Julho 2023,,,,,,,,,,,Sim,,,,StandVirtual,Yes
