Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA dedutível,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Tracção,Autonomia Máxima,Emissões CO2,Origem,Garantia de Fábrica até,Inspecção válida até,Número de Mudanças,Tipo de cor,Consumo Urbano,Filtro de partículas,IVA Discriminado,Consumo Combinado,ou até,IUC,Consumo Extra Urbano,Autonomia
Profissional,BMW,330,Série 3,e Auto,Híbrido (Gasolina),Outubro,2020,39 300 km,1 998 cm3,292 cv,Sim,Sim,Sim,Sim,Sedan,Preto,Automática,4,5,Classe 1,18 Meses,1,Sim,Sim,Sim,Usados,38 400        EUR,8089407868,1 Junho 2023,,,,,,,,,,,,,,,,
Particular,Volvo,XC 60,,2.0 T6 PHEV R-Design AWD,Híbrido (Gasolina),Março,2021,19 500 km,1 969 cm3,341 cv,,,,,SUV / TT,Cinzento,Automática,5,,,,,Sim,Sim,Sim,Usados,56 000        EUR,8089561569,1 Junho 2023,Integral,35 km,56 g/km,,,,,,,,,,,,,
Profissional,Mercedes-Benz,CLA 250,Classe CLA,e Shooting Brake AMG Line,Híbrido (Gasolina),Junho,2021,30 000 km,1 332 cm3,218 cv,Sim,Sim,Sim,Sim,Carrinha,Branco,Automática,5,5,Classe 1,18 Meses,1,Sim,Sim,Sim,Usados,49 000        EUR,8089050798,1 Junho 2023,,,,Nacional,,,,,,,,,,,,
Profissional,Kia,Niro,,,Híbrido (Gasolina),Julho,2018,21 344 km,1 600 cm3,141 cv,Sim,,Sim,Sim,Utilitário,Azul,Automática,5,5,Classe 1,36 Meses,,,,Sim,Usados,26 000        EUR,8089642072,31 Maio 2023,,,,Nacional,01/01/0001,,,,,,,,,,,
Profissional,Mercedes-Benz,A 250,Classe A,e AMG Line,Híbrido (Gasolina),Novembro,2020,19 476 km,1 332 cm3,218 cv,,Sim,Sim,Sim,Utilitário,Branco,Automática,5,5,,18 Meses,,,,Sim,Usados,36 750        EUR,8089639239,1 Junho 2023,,,,Importado,,17/11/2024,,,,,,,,,,
Profissional,Hyundai,Tucson,,,Híbrido (Gasolina),Abril,2023,1 km,1 598 cm3,230 cv,Sim,,Sim,,SUV / TT,Preto,Manual,5,5,,36 Meses,,Sim,Sim,Sim,Usados,39 500        EUR,8089643064,1 Junho 2023,,,,Nacional,,,,,,,,,,,,
Profissional,BMW,X3,Série X,30 e xDrive xLine,Híbrido (Gasolina),Junho,2020,49 900 km,1 998 cm3,292 cv,,,Sim,Sim,SUV / TT,Preto,Automática,5,5,Classe 1,18 Meses,1,Sim,Sim,Sim,Usados,53 900        EUR,8089639955,1 Junho 2023,,,,Nacional,,,8,,,,,,,,,
Profissional,BMW,225xe Active Tourer,Série 2,Line Sport,Híbrido (Gasolina),Julho,2019,83 639 km,1 499 cm3,224 cv,Sim,,Sim,Sim,Monovolume,Preto,Automática,5,5,Classe 1,18 Meses,,,Sim,,Usados,24 500        EUR,8089639321,1 Junho 2023,,,46 g/km,Importado,,,,,,,,,,,,
Profissional,Mercedes-Benz,C 350,Classe C,e,Híbrido (Gasolina),Dezembro,2016,192 395 km,1 991 cm3,279 cv,,,Sim,Sim,Carrinha,Preto,Automática,5,5,Classe 1,18 Meses,1,Sim,Sim,Sim,Usados,25 000        EUR,8089639046,1 Junho 2023,,,,Importado,,,7,,,,,,,,,
Profissional,MINI,Countryman,,Cooper SE ALL4 Auto,Híbrido (Gasolina),Agosto,2021,30 960 km,1 499 cm3,224 cv,,,Sim,Sim,SUV / TT,Azul,Automática,5,5,,36 Meses,1,Sim,Sim,Sim,Usados,39 900        EUR,8088537298,1 Junho 2023,Integral,,,,,,,Metalizado,,,,,,,,
Profissional,Mercedes-Benz,C 300,Classe C,de Edition,Híbrido (Diesel),Novembro,2020,11 574 km,1 950 cm3,306 cv,Sim,,Sim,Sim,Sedan,Branco,Automática,5,5,Classe 1,18 Meses,,,Sim,,Usados,47 500        EUR,8088730037,1 Junho 2023,Tracção traseira,,,,,,9,Metalizado,,,,,,,,
Profissional,Mercedes-Benz,E 300,Classe E,Bluetec Hybrid Avantgarde,Híbrido (Diesel),Março,2015,142 262 km,2 143 cm3,231 cv,Sim,,Sim,Sim,Carrinha,Branco,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,,Usados,24 500        EUR,8088087485,1 Junho 2023,Tracção traseira,,,,,,7,,"4,50 l/100km",,,,,,,
Profissional,Porsche,Panamera,,4 E-Hybrid,Híbrido (Gasolina),Agosto,2018,33 000 km,2 894 cm3,462 cv,,,Sim,Sim,Sedan,Cinzento,Automática,5,5,,18 Meses,,Sim,Sim,Sim,Usados,99 000        EUR,8089383358,1 Junho 2023,,,,Nacional,,,,Metalizado,,Sim,,,,,,
Profissional,Mercedes-Benz,GLC 350,Classe GLC,e AMG Line 4-Matic,Híbrido (Gasolina),Agosto,2017,82 510 km,1 991 cm3,320 cv,Sim,,Sim,,SUV / TT,Preto,Automática,5,5,,18 Meses,1,,,,Usados,41 900        EUR,8089134125,1 Junho 2023,,,,Nacional,,,,,,,,,,,,
Profissional,Toyota,C-HR,,1.8 Hybrid Exclusive,Híbrido (Gasolina),Janeiro,2021,60 700 km,1 798 cm3,122 cv,,Sim,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,,36 Meses,,,,,Usados,34 000        EUR,8088990036,1 Junho 2023,Tracção dianteira,,,,,,,,"3,20 l/100km",,Sim,,,,,
Profissional,Land Rover,Range Rover Sport,,2.0 Si4 PHEV HSE,Híbrido (Gasolina),Fevereiro,2020,71 000 km,1 997 cm3,404 cv,,,,,SUV / TT,Cinzento,Automática,5,5,,36 Meses,,,,,Usados,85 000        EUR,8089370169,1 Junho 2023,Integral,,,,,,,Metalizado,,,,,,,,
Profissional,Lexus,GS 300h,GS,F Sport,Híbrido (Gasolina),Fevereiro,2018,146 900 km,2 494 cm3,223 cv,Sim,,Sim,Sim,Sedan,Cinzento,Automática,4,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,30 900        EUR,8089288969,1 Junho 2023,Tracção traseira,,,Nacional,,,,Metalizado,5 l/100km,,,,,,,
Profissional,DS,DS7 Crossback,,,Híbrido (Gasolina),Fevereiro,2023,642 km,1 598 cm3,300 cv,Sim,,,Sim,SUV / TT,Azul,Automática,5,5,,36 Meses,,,,,Usados,63 914        EUR,8089466305,1 Junho 2023,,,30 g/km,,,,,,,,,"1,20 l/100km",,,,
Particular,Toyota,Auris Touring Sports,,1.8 HSD Comfort,Híbrido (Gasolina),Fevereiro,2016,166 300 km,1 798 cm3,136 cv,,,,,Carrinha,Preto,Automática,5,5,Classe 1,,1,Sim,Sim,Sim,Usados,17 500        EUR,8089402028,1 Junho 2023,Tracção dianteira,,92 g/km,Nacional,28/02/2026,,6,Metalizado,"4,60 l/100km",,,,200 000 km,,,
Profissional,BMW,320,Série 3,e Touring Auto,Híbrido (Gasolina),Fevereiro,2022,73 700 km,1 998 cm3,204 cv,Sim,,Sim,Sim,Carrinha,Preto,Automática,5,5,Classe 1,24 Meses,,,Sim,Sim,Usados,44 846        EUR,8089336042,1 Junho 2023,Tracção traseira,,,,,,,Metalizado,,,,,,,,
Profissional,Skoda,Octavia,,1.4 TSI iV RS DSG,Híbrido (Gasolina),Abril,2021,35 700 km,1 395 cm3,245 cv,Sim,,,,Sedan,Vermelho,Automática,5,5,,36 Meses,,,,,Usados,41 490        EUR,8089328651,1 Junho 2023,,,,Nacional,,,,,,,Sim,,,,,
Particular,Mercedes-Benz,E 300,Classe E,Bluetec Hybrid Avantgarde,Híbrido (Diesel),Março,2014,182 000 km,2 143 cm3,231 cv,,,,,Sedan,Azul,Automática,5,5,Classe 1,,2,,Sim,Sim,Usados,22 500        EUR,8088452553,1 Junho 2023,Tracção traseira,,,Nacional,,25/03/2024,,Metalizado,"4,50 l/100km",,,,,"235,26 €",,
Profissional,Fiat,Panda,,,Híbrido (Gasolina),Agosto,2021,32 187 km,999 cm3,70 cv,Sim,,Sim,Sim,SUV / TT,Cinzento,Manual,5,5,,18 Meses,,Sim,Sim,Sim,Usados,14 500        EUR,8088769542,1 Junho 2023,Tracção dianteira,,,Nacional,,,,,,,Sim,,,,,
Profissional,Mitsubishi,Eclipse Cross,,,Híbrido (Gasolina),Fevereiro,2022,23 556 km,2 360 cm3,188 cv,Sim,Sim,Sim,Sim,SUV / TT,Preto,Automática,5,5,Classe 1,18 Meses,,,,Sim,Usados,38 990        EUR,8088307733,1 Junho 2023,Integral,,,Nacional,,,6,Metalizado,,,Sim,,,,,
Profissional,Jeep,Renegade,,1.3 TG 4Xe Limited,Híbrido (Gasolina),Janeiro,2023,2 000 km,1 332 cm3,190 cv,,,Sim,Sim,SUV / TT,Azul,Automática,5,,,36 Meses,,Sim,Sim,,Usados,39 500        EUR,8088989767,1 Junho 2023,,,,,,,6,,,,Sim,,,,,
Profissional,VW,Golf,,1.4 TSI GTE+ DSG,Híbrido (Gasolina),Novembro,2020,40 950 km,1 395 cm3,245 cv,,Sim,Sim,Sim,Utilitário,Cinzento,Automática,5,5,,24 Meses,,Sim,Sim,Sim,Usados,32 450        EUR,8088796199,1 Junho 2023,,,,Importado,,01/11/2024,,,,,,,,,,
Profissional,Toyota,C-HR,,1.8 HSD Exclusive+P.Luxury,Híbrido (Gasolina),Março,2018,99 945 km,1 798 cm3,122 cv,Sim,,,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,18 Meses,,,Sim,Sim,Usados,26 450        EUR,8088090641,1 Junho 2023,Tracção dianteira,,,,,,,,"3,40 l/100km",,,,,,,
Profissional,Toyota,Yaris,,1.5 HSD Exclusive,Híbrido (Gasolina),Abril,2019,5 200 km,1 497 cm3,100 cv,Sim,,,Sim,Sedan,Cinzento,Automática,5,5,,18 Meses,,,,,Usados,20 950        EUR,8089534316,1 Junho 2023,Tracção dianteira,,113 g/km,,,,6,,"3,60 l/100km",,,"4,80 l/100km",,,"3,90 l/100km",
Particular,Mercedes-Benz,CLA 250,Classe CLA,e Shooting Brake AMG Line,Híbrido (Gasolina),Agosto,2022,13 800 km,1 332 cm3,218 cv,,,,,Carrinha,Preto,Automática,5,5,Classe 1,,1,Sim,Sim,Sim,Usados,49 950        EUR,8089604783,1 Junho 2023,Tracção dianteira,,24 g/km,Importado,,,8,Metalizado,,,,,,,,
Profissional,Porsche,Panamera,,Turbo S E-Hybrid,Híbrido (Gasolina),Janeiro,2018,15 000 km,3 996 cm3,680 cv,Sim,,Sim,Sim,Sedan,Preto,Automática,5,4,,18 Meses,1,Sim,Sim,Sim,Usados,147 500        EUR,8088646346,1 Junho 2023,Integral,,,Nacional,,,,Metalizado,,,,,,,,
Profissional,Mercedes-Benz,GLA 250,Classe GLA,e AMG Line,Híbrido (Gasolina),Novembro,2021,7 800 km,1 332 cm3,218 cv,Sim,,Sim,Sim,SUV / TT,Preto,Automática,5,5,Classe 1,24 Meses,,Sim,Sim,Sim,Usados,55 900        EUR,8089684484,1 Junho 2023,Tracção dianteira,,32 g/km,Importado,,,7,Metalizado,,,Sim,,,,,
Profissional,BMW,530,Série 5,e iPerformance Pack M,Híbrido (Gasolina),Setembro,2018,68 474 km,1 998 cm3,252 cv,Sim,Sim,Sim,Sim,Sedan,Preto,Automática,4,5,Classe 1,18 Meses,,,,Sim,Usados,40 990        EUR,8089076202,1 Junho 2023,,,,Nacional,,,8,Metalizado,,,Sim,,,,,
Profissional,Volvo,V60,,2.0 T8 AWD TE R-Design,Híbrido (Gasolina),Março,2020,81 242 km,1 969 cm3,392 cv,Sim,Sim,Sim,Sim,Carrinha,Azul,Automática,5,5,Classe 1,36 Meses,1,Sim,Sim,Sim,Usados,54 500        EUR,8087102205,1 Junho 2023,Integral,,,Importado,,31/03/2024,8,Metalizado,,Sim,Sim,,,,,
Profissional,Peugeot,3008,,1.6 Hybrid4 Allure e-EAT8,Híbrido (Gasolina),Maio,2021,47 332 km,1 598 cm3,300 cv,,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,36 Meses,,Sim,Sim,Sim,Usados,39 890        EUR,8088989669,1 Junho 2023,,,,,,,8,,,,Sim,,,,,
Particular,BMW,330,Série 3,e Touring Pack M Auto,Híbrido (Gasolina),Março,2021,45 000 km,1 998 cm3,292 cv,Sim,,,,Carrinha,Preto,Automática,5,5,Classe 1,,1,Sim,Sim,Sim,Usados,46 500        EUR,8088782766,1 Junho 2023,Tracção traseira,58 km,,Nacional,26/03/2024,,8,Metalizado,,,,,,,,
Profissional,Volvo,V60,,2.0 T8 AWD TE Momentum,Híbrido (Gasolina),Abril,2020,50 000 km,1 969 cm3,392 cv,,Sim,Sim,Sim,Carrinha,Preto,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,44 900        EUR,8089428111,1 Junho 2023,Integral,,39 g/km,,,,8,Metalizado,,,Sim,,,,,
Profissional,Lexus,NX 300h,NX,Executive Plus,Híbrido (Gasolina),Junho,2018,58 172 km,2 494 cm3,197 cv,Sim,,,Sim,SUV / TT,Preto,Automática,5,5,,18 Meses,,,,,Usados,38 990        EUR,8089641569,31 Maio 2023,,,,Nacional,,,,,,,,,,,,
Particular,Volvo,XC 40,,1.5 T5 PHEV Inscription Expression,Híbrido (Gasolina),Agosto,2020,27 000 km,1 477 cm3,262 cv,Sim,,,,SUV / TT,Preto,Automática,5,5,Classe 1,,,Sim,Sim,Sim,Usados,42 500        EUR,8088079638,30 Maio 2023,Tracção dianteira,,,Nacional,,,,Metalizado,,,,,,"138,51 €",,
Particular,Mercedes-Benz,C 350,Classe C,e,Híbrido (Gasolina),Agosto,2018,72 277 km,1 991 cm3,279 cv,,,,,Carrinha,Cinzento,Automática,5,5,Classe 1,,,,,,Usados,31 500        EUR,8089235232,29 Maio 2023,,,49 g/km,,,,7,,,,,,,,,
Profissional,Toyota,Corolla,,1.8 Hybrid Comfort+P.Sport,Híbrido (Gasolina),Junho,2021,40 856 km,1 798 cm3,122 cv,Sim,,Sim,Sim,Utilitário,Cinzento,Automática,5,,,60 Meses,,,,,Usados,30 750        EUR,8088355627,1 Junho 2023,,,85 g/km,Nacional,30/06/2028,,,,,,,"3,70 l/100km",,,,
Profissional,Ford,Focus SW,,,Híbrido (Gasolina),Dezembro,2022,6 780 km,1 000 cm3,125 cv,,,,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,18 Meses,,,Sim,Sim,Usados,29 900        EUR,8088895627,1 Junho 2023,,,,,,01/12/2026,6,Metalizado,,,,,,,,
Profissional,Jeep,Compass,,1.3 TG 4Xe Trailhawk,Híbrido (Gasolina),Junho,2021,22 893 km,1 332 cm3,240 cv,,Sim,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,39 980        EUR,8089137495,1 Junho 2023,,,,,,,,Metalizado,,,Sim,,,,,
Profissional,Toyota,C-HR,,2.0 Hybrid Premier Edition,Híbrido (Gasolina),Agosto,2020,28 518 km,1 987 cm3,184 cv,,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,,36 Meses,,Sim,Sim,Sim,Usados,32 990        EUR,8088534173,1 Junho 2023,,,,,,,6,,"3,70 l/100km",,,,,,,
Profissional,Ford,Focus,,,Híbrido (Gasolina),Dezembro,2022,6 780 km,1 000 cm3,125 cv,,,,Sim,Citadino,Azul,Manual,5,5,Classe 1,18 Meses,,,Sim,Sim,Usados,28 900        EUR,8088895869,1 Junho 2023,,,,,,01/12/2026,6,Metalizado,,,,,,,,
Profissional,Land Rover,Range Rover Sport,,2.0 Si4 PHEV HSE Dynamic,Híbrido (Gasolina),Julho,2021,26 000 km,1 997 cm3,404 cv,Sim,Sim,,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 2,18 Meses,1,Sim,Sim,Sim,Usados,99 900        EUR,8088096372,1 Junho 2023,Integral,,72 g/km,Importado,02/07/2023,02/07/2025,8,Metalizado,,,Sim,,,"206,86 €",,
Profissional,Toyota,Yaris Verso,,,Híbrido (Gasolina),Junho,2018,95 000 km,1 497 cm3,100 cv,Sim,,,Sim,Citadino,Branco,Automática,5,5,Classe 1,18 Meses,,,Sim,,Usados,16 900        EUR,8089151257,1 Junho 2023,,,,,,,,Metalizado,,,,,,,,
Profissional,Mercedes-Benz,E 300,Classe E,De AMG Line,Híbrido (Diesel),Janeiro,2020,85 000 km,1 950 cm3,306 cv,Sim,Sim,,,Sedan,Cinzento,Automática,4,5,Classe 1,24 Meses,1,Sim,Sim,Sim,Usados,45 900        EUR,8088870452,1 Junho 2023,,,,,,,,Metalizado,,Sim,,,,,,
Profissional,Toyota,Yaris Verso,,,Híbrido (Gasolina),Maio,2015,90 000 km,1 497 cm3,101 cv,Sim,,,Sim,Citadino,Branco,Automática,5,5,Classe 1,18 Meses,,,Sim,,Usados,14 499        EUR,8089151147,1 Junho 2023,,,,,,,,Metalizado,,,,,,,,
Profissional,Porsche,Cayenne,,E-Hybrid,Híbrido (Gasolina),Maio,2021,101 550 km,2 995 cm3,462 cv,Sim,,,Sim,SUV / TT,Branco,Automática,5,5,,18 Meses,1,Sim,Sim,Sim,Usados,108 000        EUR,8088678961,1 Junho 2023,,,,,,,,,,,,,,"559,90 €",,
Profissional,BMW,330,Série 3,e Auto,Híbrido (Gasolina),Outubro,2020,39 300 km,1 998 cm3,292 cv,Sim,Sim,Sim,Sim,Sedan,Preto,Automática,4,5,Classe 1,18 Meses,1,Sim,Sim,Sim,Usados,38 400        EUR,8089407868,1 Junho 2023,,,,,,,,,,,,,,,,
Profissional,Mercedes-Benz,A 250,Classe A,e AMG Line,Híbrido (Gasolina),Julho,2022,3 124 km,1 332 cm3,218 cv,Sim,,Sim,Sim,Utilitário,Azul,Automática,5,5,,24 Meses,,,,,Usados,46 990        EUR,8089372498,1 Junho 2023,,,,,,,8,Metalizado,,,,,,,,
Profissional,Renault,Arkana,,1.6 E-Tech Techno,Híbrido (Gasolina),Junho,2021,32 000 km,1 598 cm3,145 cv,,,Sim,Sim,SUV / TT,Laranja,Automática,5,5,Classe 1,36 Meses,1,Sim,Sim,Sim,Usados,34 950        EUR,8089151032,1 Junho 2023,Tracção dianteira,,,Nacional,,,,,"4,60 l/100km",,,,,,,
Profissional,Citroën,DS5,,2.0 HDi Hybrid4 So Chic CMP6,Híbrido (Diesel),Outubro,2013,191 000 km,1 997 cm3,200 cv,,,,,Utilitário,Preto,Automática,5,5,,18 Meses,,,Sim,Sim,Usados,13 980        EUR,8089681209,1 Junho 2023,,,,Nacional,,,,,,Sim,,,,,,
