Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA dedutível,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Tracção,Autonomia Máxima,Emissões CO2,Origem,Garantia de Fábrica até,Inspecção válida até,Número de Mudanças,Tipo de cor,Consumo Urbano,Filtro de partículas,IVA Discriminado,Consumo Combinado,ou até,IUC,Consumo Extra Urbano,Autonomia
Particular,Mercedes-Benz,B 250,Classe B,,Híbrido (Gasolina),Outubro,2020,44 632 km,1 332 cm3,218 cv,,,,,Monovolume,Branco,Automática,4,5,,,,,,Sim,Usados,35 500        EUR,8089440582,1 Junho 2023,,,,Importado,20/03/2025,,8,,,,,,,,,
Profissional,Toyota,C-HR,,1.8 Hybrid Exclusive+P.Luxury,Híbrido (Gasolina),Fevereiro,2020,38 061 km,1 798 cm3,122 cv,,,,,Utilitário,Cinzento,Automática,5,5,,36 Meses,,,,,Usados,28 490        EUR,8089232615,1 Junho 2023,,,,,,,,,"3,20 l/100km",,,,,,,
Profissional,Mazda,2,,1.5 L Hybrid VVT-i Agile,Híbrido (Gasolina),Abril,2023,1 000 km,1 490 cm3,116 cv,,,Sim,Sim,Citadino,Cinzento,Automática,5,5,Classe 1,72 Meses,,Sim,Sim,Sim,Usados,24 900        EUR,8089427467,1 Junho 2023,Tracção dianteira,,87 g/km,,26/04/2029,,,Metalizado,,,Sim,,150 000 km,,,
Profissional,BMW,530,Série 5,e iPerformance Line Luxury,Híbrido (Gasolina),Abril,2018,96 700 km,1 998 cm3,252 cv,,,,,Sedan,Dourado,Automática,4,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,35 250        EUR,8089604765,1 Junho 2023,Tracção traseira,,33 g/km,Nacional,,01/04/2024,8,Metalizado,,,,,,,,
Profissional,BMW,X5,Série X,40e xDrive,Híbrido (Gasolina),Janeiro,2018,57 850 km,1 997 cm3,313 cv,,,,,SUV / TT,Branco,Automática,5,5,,18 Meses,,,Sim,Sim,Usados,47 900        EUR,8089424051,1 Junho 2023,,,78 g/km,Importado,,,,Metalizado,,,,,,"204,82 €",,
Profissional,Mercedes-Benz,C 300,Classe C,de AMG Line,Híbrido (Diesel),Novembro,2020,68 000 km,1 950 cm3,306 cv,Sim,Sim,Sim,Sim,Carrinha,Branco,Automática,5,5,Classe 1,36 Meses,,,,,Usados,43 750        EUR,8089150218,1 Junho 2023,Tracção traseira,,,,,,9,Metalizado,,Sim,Sim,,,220 €,,
Profissional,Kia,Niro,,1.6 GDI HEV Tech,Híbrido (Gasolina),Junho,2022,18 000 km,1 580 cm3,141 cv,Sim,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,36 Meses,,Sim,,Sim,Usados,32 350        EUR,8089274702,1 Junho 2023,Tracção dianteira,,,Nacional,,,6,Metalizado,"4,50 l/100km",,,,,,,
Particular,Volvo,V60,,2.4 D6 Summum AWD Phev,Híbrido (Diesel),Junho,2013,205 000 km,2 400 cm3,286 cv,,,,,Carrinha,Branco,Automática,5,5,Classe 1,,2,,Sim,Sim,Usados,14 500        EUR,8088837887,1 Junho 2023,Integral,50 km,,Nacional,,,6,Metalizado,,,,,,,,
Profissional,Mercedes-Benz,C 300,Classe C,de AMG Line,Híbrido (Diesel),Maio,2021,39 000 km,1 950 cm3,306 cv,Sim,,,Sim,Carrinha,Branco,Automática,5,5,Classe 1,18 Meses,,Sim,,Sim,Usados,49 900        EUR,8089532883,1 Junho 2023,Tracção traseira,,,,,,9,,,,Sim,,,,,
Profissional,Peugeot,3008,,1.6 Hybrid4 Allure Pack e-EAT8,Híbrido (Gasolina),Novembro,2021,26 744 km,1 598 cm3,300 cv,Sim,,,Sim,SUV / TT,Cinzento,Automática,5,5,,36 Meses,,,,,Usados,39 900        EUR,8089603373,1 Junho 2023,,,,,,,,,,,,,,,,
Profissional,Porsche,Panamera Sport Turismo,,4 E-Hybrid,Híbrido (Gasolina),Julho,2017,80 000 km,2 894 cm3,462 cv,,,Sim,Sim,Carrinha,Preto,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,89 990        EUR,8089233141,1 Junho 2023,,,,,,,,Metalizado,,,,,,,,54 km
Profissional,VW,Passat,,1.4 TSI GTE Plug-in,Híbrido (Gasolina),Dezembro,2017,69 980 km,1 395 cm3,218 cv,Sim,Sim,Sim,Sim,Sedan,Cinzento,Automática,4,5,Classe 1,36 Meses,1,Sim,Sim,Sim,Usados,23 000        EUR,8089153168,1 Junho 2023,Tracção dianteira,,,Nacional,01/01/2025,31/12/2023,,Metalizado,6 l/100km,,Sim,,,135 €,,
Profissional,Hyundai,Ioniq,,1.6 GDI HEV Hybrid Tech,Híbrido (Gasolina),Maio,2019,149 494 km,1 580 cm3,141 cv,Sim,Sim,,Sim,Utilitário,Preto,Automática,5,5,Classe 1,18 Meses,1,Sim,Sim,,Usados,17 990        EUR,8088765848,1 Junho 2023,Tracção dianteira,,,Nacional,,,6,Metalizado,"3,60 l/100km",,Sim,,,,,
Profissional,Hyundai,Ioniq,,1.6 GDI HEV Hybrid Tech,Híbrido (Gasolina),Janeiro,2019,150 715 km,1 580 cm3,141 cv,Sim,Sim,,Sim,Utilitário,Branco,Automática,5,5,Classe 1,18 Meses,1,Sim,Sim,,Usados,17 490        EUR,8088127378,1 Junho 2023,Tracção dianteira,,,Nacional,,,6,Metalizado,"3,60 l/100km",,Sim,,,,,
Profissional,Volvo,XC 60,,2.0 T6 PHEV Plus Dark AWD,Híbrido (Gasolina),Setembro,2022,15 000 km,1 969 cm3,350 cv,Sim,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,24 Meses,1,Sim,Sim,Sim,Usados,68 700        EUR,8089682519,1 Junho 2023,Integral,,25 g/km,Nacional,,26/09/2026,8,Metalizado,,,Sim,,,,,
Profissional,Citroën,DS5,,,Híbrido (Diesel),Março,2013,166 830 km,1 997 cm3,200 cv,,,,,Utilitário,Preto,Automática,5,5,,18 Meses,1,,,,Usados,17 900        EUR,8088700588,1 Junho 2023,,,,,,,,,,,,,,,,
Profissional,Mercedes-Benz,GLC 300,Classe GLC,de 4Matic,Híbrido (Diesel),Julho,2020,13 759 km,1 950 cm3,320 cv,,Sim,Sim,Sim,SUV / TT,Preto,Automática,5,5,Classe 1,18 Meses,1,Sim,Sim,Sim,Usados,65 400        EUR,8089154850,1 Junho 2023,Integral,,,,,,,Metalizado,,Sim,Sim,,,,,
Profissional,Porsche,Cayenne Coupé,,E-Hybrid,Híbrido (Gasolina),Outubro,2020,27 897 km,2 995 cm3,462 cv,,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 2,24 Meses,1,Sim,Sim,Sim,Usados,137 000        EUR,8089682316,1 Junho 2023,Integral,,73 g/km,Importado,,,8,Metalizado,,Sim,Sim,,,,,
Profissional,Volvo,S60,,2.0 T8 PHEV R-Design AWD,Híbrido (Gasolina),Fevereiro,2022,30 915 km,1 969 cm3,392 cv,Sim,Sim,Sim,Sim,Sedan,Preto,Automática,4,5,Classe 1,24 Meses,1,Sim,Sim,Sim,Usados,61 500        EUR,8089682216,1 Junho 2023,Integral,,40 g/km,Importado,,28/02/2026,8,Metalizado,,,Sim,,,,,
Particular,Hyundai,Santa Fe,,1.6 T-GDI PHEV Vanguard+Luxury Pack,Híbrido (Gasolina),Setembro,2021,35 000 km,1 598 cm3,265 cv,Sim,,,,SUV / TT,Preto,Automática,5,7,Classe 2,,1,Sim,Sim,Sim,Usados,49 999        EUR,8088582490,30 Maio 2023,Integral,60 km,,Importado,,,,Metalizado,,,,,,156 €,,
Profissional,VW,Golf,,1.4 TSI GTE+ DSG,Híbrido (Gasolina),Novembro,2020,52 000 km,1 395 cm3,245 cv,Sim,Sim,Sim,Sim,Sedan,Cinzento,Automática,5,5,,18 Meses,,,,Sim,Usados,36 900        EUR,8089639972,31 Maio 2023,,,38 g/km,Nacional,,,6,,,,,,,,,
Profissional,Toyota,C-HR,,1.8 Hybrid Square Collection,Híbrido (Gasolina),Junho,2021,53 500 km,1 798 cm3,122 cv,Sim,,Sim,Sim,SUV / TT,Branco,Automática,5,,,61 Meses,,,,,Usados,33 000        EUR,8088520777,1 Junho 2023,,,86 g/km,Nacional,15/07/2028,,,,,,,"3,80 l/100km",,,,
Profissional,Jeep,Wrangler Unlimited,,2.0 TG 4xe Rubicon,Híbrido (Gasolina),Abril,2023,50 km,1 995 cm3,380 cv,Sim,Sim,,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 2,48 Meses,1,,Sim,Sim,Usados,87 900        EUR,8089640138,31 Maio 2023,,,,Nacional,09/02/2027,,,,,,Sim,,,,,
Profissional,Honda,Civic,,2.0 0 i-MMD e:HEV Sport,Híbrido (Gasolina),Fevereiro,2023,15 km,1 993 cm3,184 cv,Sim,,Sim,Sim,Utilitário,Cinzento,Automática,5,,Classe 1,60 Meses,,,,,Usados,42 999        EUR,8089371469,1 Junho 2023,,,,,,,,,,,,,,,,
Profissional,Mercedes-Benz,C 300,Classe C,de AMG Line,Híbrido (Diesel),Dezembro,2019,74 900 km,1 950 cm3,306 cv,Sim,Sim,Sim,Sim,Sedan,Preto,Automática,4,5,Classe 1,24 Meses,,Sim,Sim,Sim,Usados,52 900        EUR,8089682028,1 Junho 2023,Tracção traseira,,33 g/km,Nacional,,,9,Metalizado,,,Sim,,,,,
Profissional,Lexus,UX 250h,UX,Special Edition (LCA),Híbrido (Gasolina),Abril,2022,6 000 km,1 987 cm3,184 cv,,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,,36 Meses,1,,Sim,,Usados,45 500        EUR,8089171747,1 Junho 2023,,,,Nacional,,,,,,,,,,,,
Profissional,Toyota,Yaris,,1.5 HSD 20 Anos,Híbrido (Gasolina),Outubro,2019,8 939 km,1 497 cm3,100 cv,Sim,,,Sim,Citadino,Vermelho,Automática,5,,,18 Meses,,,,,Usados,20 999        EUR,8089548315,1 Junho 2023,,,,Nacional,,,,,,,,,,,,
Profissional,Mercedes-Benz,E 300,Classe E,De Avantgarde,Híbrido (Diesel),Setembro,2022,405 km,1 950 cm3,306 cv,Sim,,Sim,Sim,Carrinha,Preto,Automática,5,5,Classe 1,24 Meses,,Sim,Sim,Sim,Usados,68 990        EUR,8088708923,1 Junho 2023,Tracção traseira,60 km,,Nacional,,,9,Metalizado,,,Sim,,,,,
Profissional,Mercedes-Benz,E 300,Classe E,De AMG Line,Híbrido (Diesel),Fevereiro,2022,65 000 km,1 950 cm3,306 cv,Sim,,Sim,Sim,Sedan,Cinzento,Automática,5,5,,24 Meses,,Sim,Sim,Sim,Usados,75 900        EUR,8087923097,1 Junho 2023,,,,Nacional,,,,Metalizado,,,Sim,,,,,
Particular,Volvo,V60,,2.0 T8 AWD TE Inscription,Híbrido (Gasolina),Março,2020,22 100 km,1 969 cm3,392 cv,,,,,Carrinha,Azul,Automática,5,5,,,,Sim,Sim,Sim,Usados,47 500        EUR,8089287599,1 Junho 2023,,58 km,,,,,8,Metalizado,,,,,,,,
Profissional,Volvo,V60,,2.0 T8 AWD TE Inscription,Híbrido (Gasolina),Março,2019,43 466 km,1 969 cm3,392 cv,Sim,Sim,Sim,,Carrinha,Cinzento,Automática,5,5,,24 Meses,,,,,Usados,39 900        EUR,8089603557,1 Junho 2023,,,40 g/km,Nacional,,,,,,Sim,,,,,,
Profissional,Lexus,UX 250h,UX,Executive+,Híbrido (Gasolina),Maio,2020,63 509 km,1 987 cm3,184 cv,Sim,,,Sim,SUV / TT,Preto,Automática,5,,,23 Meses,,,,,Usados,39 750        EUR,8089518353,1 Junho 2023,,,120 g/km,Nacional,11/05/2025,,,,,,,"4,10 l/100km",,,"5,30 l/100km",
Profissional,BMW,225xe Active Tourer,Série 2,Pack M,Híbrido (Gasolina),Dezembro,2018,63 400 km,1 499 cm3,224 cv,Sim,,Sim,Sim,Carrinha,Branco,Automática,5,5,,24 Meses,,,Sim,Sim,Usados,36 146        EUR,8088132711,1 Junho 2023,,,,,,,,,,,,,,,,
Particular,Mercedes-Benz,C 300,Classe C,de Avantgarde,Híbrido (Diesel),Novembro,2019,140 000 km,1 950 cm3,306 cv,,,,,Carrinha,Preto,Automática,5,5,,,,,,Sim,Usados,38 000        EUR,8088191579,1 Junho 2023,,,37 g/km,,,,9,,,,,,,,,
Profissional,Toyota,C-HR,,1.8 Hybrid Exclusive,Híbrido (Gasolina),Janeiro,2021,64 000 km,1 798 cm3,122 cv,Sim,,Sim,Sim,SUV / TT,Preto,Automática,5,,,56 Meses,,,,,Usados,34 250        EUR,8088683059,1 Junho 2023,,,86 g/km,Nacional,29/02/2028,,,,,,,"3,80 l/100km",,,,
Profissional,Toyota,C-HR,,1.8 Hybrid Square Collection,Híbrido (Gasolina),Junho,2021,53 500 km,1 798 cm3,122 cv,Sim,,Sim,Sim,SUV / TT,Branco,Automática,5,,,61 Meses,,,,,Usados,33 000        EUR,8088520777,1 Junho 2023,,,86 g/km,Nacional,15/07/2028,,,,,,,"3,80 l/100km",,,,
Profissional,Toyota,C-HR,,1.8 Hybrid Exclusive,Híbrido (Gasolina),Janeiro,2021,46 918 km,1 798 cm3,122 cv,Sim,,Sim,Sim,SUV / TT,Cinzento,Automática,5,,,55 Meses,,,,,Usados,30 750        EUR,8089176012,1 Junho 2023,,,86 g/km,Nacional,08/01/2028,,,,,,,"3,80 l/100km",,,,
Profissional,Toyota,Corolla,,SD 1.8 Hybrid Exclusive,Híbrido (Gasolina),Novembro,2020,49 863 km,1 798 cm3,122 cv,Sim,,Sim,Sim,Citadino,Cinzento,Automática,4,5,,53 Meses,,,,,Usados,29 250        EUR,8085653685,1 Junho 2023,,,83 g/km,Nacional,02/11/2027,,,,,,,"3,60 l/100km",,,,
Profissional,Toyota,Corolla Touring Sports,,1.8 Hybrid Comfort+P.Sport,Híbrido (Gasolina),Junho,2021,48 197 km,1 798 cm3,122 cv,Sim,,Sim,Sim,Carrinha,Branco,Automática,5,,,60 Meses,,,,,Usados,32 000        EUR,8088683055,1 Junho 2023,,,,Nacional,30/06/2028,,,,,,,5 l/100km,,,,
Profissional,Toyota,Yaris,,1.5 HDF Comfort Plus,Híbrido (Gasolina),Junho,2021,48 466 km,1 490 cm3,115 cv,Sim,,Sim,Sim,Citadino,Branco,Automática,5,,,60 Meses,,,,,Usados,24 500        EUR,8088302877,1 Junho 2023,,,64 g/km,Nacional,08/06/2028,,,,,,,"2,80 l/100km",,,,
Profissional,Toyota,Corolla,,1.8 Hybrid Comfort+P.Sport,Híbrido (Gasolina),Junho,2021,40 856 km,1 798 cm3,122 cv,Sim,,Sim,Sim,Utilitário,Cinzento,Automática,5,,,60 Meses,,,,,Usados,30 750        EUR,8088355627,1 Junho 2023,,,85 g/km,Nacional,30/06/2028,,,,,,,"3,70 l/100km",,,,
Profissional,Toyota,Auris,,1.8 HSD Sport+Navi,Híbrido (Gasolina),Agosto,2013,116 000 km,1 798 cm3,136 cv,,,Sim,Sim,Utilitário,Cinzento,Automática,5,5,,18 Meses,1,Sim,Sim,Sim,Usados,15 800        EUR,8087983502,1 Junho 2023,,,,Nacional,,,,,,,,,,,,
Profissional,Toyota,Yaris,,1.5 HSD 20 Anos,Híbrido (Gasolina),Julho,2018,53 000 km,1 497 cm3,100 cv,,,Sim,Sim,Citadino,Branco,Automática,5,5,Classe 1,18 Meses,1,Sim,Sim,Sim,Usados,19 450        EUR,8088504564,1 Junho 2023,Tracção dianteira,,,Nacional,,,,Pérola,,,,,,,,
Profissional,Toyota,Yaris,,1.5 HDF Comfort Plus,Híbrido (Gasolina),Abril,2022,18 844 km,1 490 cm3,115 cv,,,Sim,Sim,Utilitário,Vermelho,Automática,5,5,Classe 1,60 Meses,,Sim,Sim,Sim,Usados,24 250        EUR,8089603283,1 Junho 2023,Tracção dianteira,,88 g/km,,,,,Metalizado,"3,20 l/100km",,,,,,"2,20 l/100km",
Profissional,Mercedes-Benz,E 300,Classe E,Bluetec Hybrid Elegance 107g,Híbrido (Diesel),Janeiro,2013,219 277 km,2 143 cm3,231 cv,Sim,,,,Sedan,Cinzento,Automática,4,5,Classe 1,18 Meses,2,Sim,Sim,Sim,Usados,17 500        EUR,8088684626,1 Junho 2023,Tracção traseira,50 km,107 g/km,Importado,,01/12/2023,8,Metalizado,"4,10 l/100km",,,,,,,
Particular,Volvo,V60,,2.4 D6 R-Design Mom.AWD Phev,Híbrido (Diesel),Março,2017,177 128 km,2 400 cm3,286 cv,,,,,Carrinha,Cinzento,Automática,5,5,Classe 1,,1,Sim,Sim,Sim,Usados,21 300        EUR,8089637048,1 Junho 2023,Integral,50 km,48 g/km,Nacional,,29/03/2024,6,Metalizado,,,,,,235 €,,
Profissional,Toyota,Corolla,,1.8 Hybrid Comfort+P.Sport,Híbrido (Gasolina),Junho,2021,37 900 km,1 798 cm3,122 cv,Sim,,Sim,Sim,Utilitário,Preto,Automática,5,5,,36 Meses,,Sim,Sim,Sim,Usados,29 900        EUR,8089489806,1 Junho 2023,,,,Nacional,,,,Metalizado,,,Sim,,,,,
Profissional,Volvo,V90,,2.0 T8 PHEV Inscription AWD,Híbrido (Gasolina),Julho,2020,24 610 km,1 969 cm3,392 cv,Sim,Sim,,Sim,Carrinha,Preto,Automática,5,5,Classe 1,24 Meses,1,Sim,,Sim,Usados,61 500        EUR,8089680678,1 Junho 2023,Integral,,46 g/km,Importado,,03/07/2024,8,Metalizado,,,Sim,,,,,
Profissional,Peugeot,3008,,1.6 Hybrid Allure e-EAT8,Híbrido (Gasolina),Outubro,2021,19 429 km,1 598 cm3,225 cv,Sim,,,Sim,SUV / TT,Cinzento,Automática,5,5,,18 Meses,,,,,Usados,38 900        EUR,8089669388,1 Junho 2023,,,,,,,,,,,,7 l/100km,,,,
Profissional,VW,Golf,,1.4 TSI GTE DSG,Híbrido (Gasolina),Dezembro,2020,22 902 km,1 395 cm3,245 cv,,,Sim,Sim,Sedan,Branco,Automática,5,5,Classe 1,18 Meses,,,Sim,Sim,Usados,31 900        EUR,8089603203,1 Junho 2023,Tracção dianteira,,26 g/km,Importado,,01/12/2024,6,,,,,,,"144,03 €",,
Profissional,Toyota,Corolla Touring Sports,,1.8 Hybrid Active,Híbrido (Gasolina),Outubro,2020,35 900 km,1 798 cm3,122 cv,,,Sim,Sim,Carrinha,Cinzento,Automática,5,5,,24 Meses,,Sim,Sim,Sim,Usados,27 950        EUR,8089680449,1 Junho 2023,,,,Nacional,,,,Metalizado,,,,,,,,
Profissional,Volvo,S60,,2.0 T8 PHEV R-Design AWD,Híbrido (Gasolina),Dezembro,2020,31 275 km,1 969 cm3,392 cv,Sim,Sim,Sim,Sim,Sedan,Cinzento,Automática,4,,Classe 1,24 Meses,1,Sim,Sim,Sim,Usados,56 500        EUR,8089680410,1 Junho 2023,Integral,,40 g/km,Importado,,01/12/2024,8,Metalizado,,,Sim,,,,,
Profissional,Mercedes-Benz,GLA 250,Classe GLA,e AMG Line,Híbrido (Gasolina),Abril,2021,20 391 km,1 332 cm3,218 cv,,,Sim,Sim,SUV / TT,Azul,Automática,5,5,,18 Meses,,Sim,,Sim,Usados,52 500        EUR,8089489664,1 Junho 2023,,,,Importado,,,,,,,,,,,,
Profissional,Jeep,Compass,,1.3 TG 4Xe S,Híbrido (Gasolina),Abril,2021,10 520 km,1 332 cm3,240 cv,,,Sim,Sim,SUV / TT,Preto,Automática,5,5,,18 Meses,,Sim,,Sim,Usados,41 500        EUR,8089489696,1 Junho 2023,,,,Importado,,,,Metalizado,,,,,,,,
Profissional,Mercedes-Benz,GLC 300,Classe GLC,e 4Matic,Híbrido (Gasolina),Abril,2022,15 021 km,1 991 cm3,320 cv,,,Sim,Sim,SUV / TT,Preto,Automática,5,5,,18 Meses,,Sim,,Sim,Usados,70 000        EUR,8089489693,1 Junho 2023,,,,Importado,,,,Metalizado,,,,,,,,
