Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Tipo de cor,Aceita retoma,Número de Mudanças,Classe do veículo,Emissões CO2,2º Chave,Consumo Extra Urbano,Bateria,Autonomia Máxima,IUC,Sub-modelo,Garantia de Fábrica até,Inspecção válida até,Filtro de partículas,ou até,Consumo Combinado,Autonomia,Consumo
Particular,Toyota,C-HR,1.8 HSD Comfort,Híbrido (Gasolina),Janeiro,2017,113 000 km,1 798 cm3,122 cv,,,,,Utilitário,Cinzento,Automática,5,5,Tracção dianteira,,1,Nacional,Sim,Sim,Usados,20 000        EUR,8089628558,26 Junho 2023,"3,40 l/100km",Metalizado,,,,109 g/km,Sim,4 l/100km,,,,,,,,,,,
Profissional,Volvo,V60,1.6 D2 Drive Summum Start/Stop,Diesel,Outubro,2012,180 000 km,1 560 cm3,115 cv,,,,,Carrinha,Preto,Manual,5,5,,18 Meses,,,Sim,Sim,Usados,12 499        EUR,8089524090,26 Junho 2023,"5,20 l/100km",Metalizado,Sim,,,,Sim,,,,,,,,,,,,
Profissional,Dacia,Sandero,0.9 TCe SL Stepway of Life Easy-R,Gasolina,Outubro,2017,49 873 km,898 cm3,90 cv,,,,,Citadino,Cinzento,Automática,5,5,,18 Meses,,,Sim,Sim,Usados,14 999        EUR,8089525742,26 Junho 2023,"5,70 l/100km",Metalizado,Sim,,,,Sim,,,,,,,,,,,,
Particular,Jeep,Renegade,1.6 MJD Limited,Diesel,Agosto,2015,146 000 km,1 598 cm3,120 cv,,,,,SUV / TT,Laranja,Manual,5,,,,2,Importado,,Sim,Usados,15 750        EUR,8089762720,26 Junho 2023,"5,80 l/100km",Metalizado,,,,,Sim,,,,,,,,,,,,
Profissional,VW,Tiguan,1.4 TSI eHybrid Conceptline DSG,Híbrido (Gasolina),Março,2023,7 100 km,1 395 cm3,245 cv,,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,,18 Meses,,Nacional,,,Usados,39 500        EUR,8089912444,26 Junho 2023,,,Sim,,,,,,,,,,,,,,,,
Profissional,Nissan,Qashqai,1.5 dCi N-Connecta 18 RS+PS,Diesel,Agosto,2017,90 000 km,1 461 cm3,110 cv,,,,,SUV / TT,Cinzento,Manual,5,5,,18 Meses,,,Sim,Sim,Usados,19 899        EUR,8089370441,26 Junho 2023,"4,20 l/100km",Metalizado,Sim,,,,Sim,,,,,,,,,,,,
Profissional,Mercedes-Benz,C 220,CDI Elegance,Diesel,Dezembro,2010,190 000 km,2 148 cm3,170 cv,,,,,Sedan,Cinzento,Manual,4,5,,18 Meses,,,,,Usados,15 749        EUR,8086201331,26 Junho 2023,"8,20 l/100km",Metalizado,Sim,,,,,,,,,Classe C,,,,,,,
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake Style Plus Aut.,Diesel,Junho,2022,21 359 km,1 950 cm3,116 cv,Sim,Sim,,Sim,Carrinha,Cinzento,Automática,5,5,Tracção dianteira,24 Meses,,Nacional,Sim,,Usados,38 990        EUR,8089093491,26 Junho 2023,"5,50 l/100km",Metalizado,Sim,8,Classe 1,,Sim,,,,,Classe CLA,,,Sim,,,,
Particular,Kia,Picanto,1.0,Gasolina,Novembro,2011,99 000 km,998 cm3,69 cv,,,,,Pequeno citadino,Branco,Manual,5,5,,,,,,,Usados,7 350        EUR,8089186293,26 Junho 2023,,Metalizado,,,,,,,,,,,,,,,,,
Profissional,Peugeot,208,1.2 PureTech GT Line EAT6,Gasolina,Dezembro,2018,60 000 km,1 199 cm3,110 cv,,,,,Citadino,Branco,Automática,5,5,,18 Meses,,,Sim,Sim,Usados,17 499        EUR,8089316467,26 Junho 2023,"6,20 l/100km",Metalizado,Sim,,,,Sim,,,,,,,,,,,,
Profissional,Citroën,C4 Grand Picasso,1.6 BlueHDi Shine,Diesel,Agosto,2018,100 000 km,1 560 cm3,120 cv,,,,,Monovolume,Cinzento,Manual,5,7,,18 Meses,,,Sim,Sim,Usados,21 999        EUR,8088032565,26 Junho 2023,"4,50 l/100km",Metalizado,Sim,6,,,Sim,,,,,,,,,,,,
Particular,Mercedes-Benz,E 300,TD Classic,Diesel,Maio,1998,575 000 km,2 996 cm3,177 cv,,,,,Carrinha,Cinzento,Automática,5,7,Tracção traseira,,,,,,Usados,5 000        EUR,8089457069,26 Junho 2023,,Metalizado,,,,,,,,,,Classe E,,,,,,,
Particular,Mercedes-Benz,CLA 200,d Shooting Brake AMG Line Aut.,Diesel,Abril,2018,169 000 km,2 143 cm3,136 cv,Sim,,,,Carrinha,Preto,Automática,5,,,,,Nacional,Sim,,Usados,26 900        EUR,8089805522,26 Junho 2023,"6,60 l/100km",Metalizado,,,,,Sim,,,,,Classe CLA,,,,,,,
Profissional,Audi,A4,1.8 Turbo Sport,Gasolina,Agosto,2001,199 000 km,1 781 cm3,150 cv,Sim,,,Sim,Sedan,Azul,Manual,4,,,36 Meses,,,,,Usados,5 250        EUR,8089912390,26 Junho 2023,,Metalizado,Sim,,,,,,,,,,,,,,,,
Profissional,Opel,Vivaro,1.6 CDTi L1H1 2.9T 6L S/S,Diesel,Janeiro,2018,25 000 km,1 598 cm3,95 cv,,,Sim,Sim,Monovolume,Cinzento,Manual,5,6,,18 Meses,1,Nacional,Sim,Sim,Usados,32 900        EUR,8089292595,26 Junho 2023,7 l/100km,Metalizado,Sim,6,Classe 2,164 g/km,Sim,,,,,,,31/01/2024,,,,,
Profissional,Peugeot,3008,1.5 BlueHDi GT Line,Diesel,Dezembro,2018,83 000 km,1 499 cm3,130 cv,,Sim,,Sim,SUV / TT,Cinzento,Manual,5,5,,18 Meses,1,Nacional,Sim,Sim,Usados,29 950        EUR,8088537812,26 Junho 2023,"4,70 l/100km",Metalizado,Sim,8,Classe 1,,Sim,,,,,,,16/12/2024,,,,,
Profissional,Ford,Fiesta,1.6 T ST,Gasolina,Dezembro,2013,120 000 km,1 596 cm3,182 cv,,,,,Citadino,Branco,Manual,3,5,,18 Meses,,,Sim,Sim,Usados,16 499        EUR,8087792439,26 Junho 2023,,Metalizado,Sim,6,,,Sim,,,,,,,,,,,,
Profissional,BMW,Z3,1.9,Gasolina,Dezembro,2002,179 278 km,1 895 cm3,118 cv,,,,,Cabrio,Cinzento,Manual,2,2,,18 Meses,,,Sim,,Usados,16 999        EUR,8086610576,26 Junho 2023,"11,50 l/100km",Metalizado,Sim,,,,Sim,,,,,Série Z,,,,,,,
Particular,Porsche,Macan,S,Gasolina,Novembro,2015,116 000 km,2 997 cm3,340 cv,,,,,SUV / TT,Cinzento,Automática,5,5,Integral,,2,Nacional,Sim,Sim,Usados,62 900        EUR,8088538557,26 Junho 2023,"11,30 l/100km",Metalizado,,7,Classe 1,,Sim,,,700 km,,,19/12/2023,,Sim,,,,
Particular,Honda,Civic Tourer,1.6 i-DTEC Sport Navi,Diesel,Junho,2014,214 619 km,1 597 cm3,120 cv,,,,,Carrinha,Branco,Manual,5,5,Tracção dianteira,,,Importado,,,Usados,11 600        EUR,8089628620,26 Junho 2023,"4,30 l/100km",Pérola,,6,Classe 1,103 g/km,Sim,"3,70 l/100km",,,,,,,,,,,
Profissional,Mercedes-Benz,E 300,De AMG Line,Híbrido (Diesel),Novembro,2019,130 840 km,1 950 cm3,306 cv,Sim,Sim,Sim,Sim,Sedan,Cinzento,Automática,5,5,Tracção traseira,24 Meses,,Nacional,,,Usados,42 490        EUR,8089060236,26 Junho 2023,,Metalizado,Sim,9,Classe 1,,Sim,,,,,Classe E,,,,,,,
Profissional,Peugeot,5008,1.6 BlueHDi Allure,Diesel,Agosto,2018,80 000 km,1 560 cm3,120 cv,,,,,Monovolume,Cinzento,Manual,5,7,,18 Meses,,,Sim,Sim,Usados,26 899        EUR,8087779645,26 Junho 2023,"4,80 l/100km",Metalizado,Sim,6,,,Sim,,,,,,,,,,,,
Profissional,Renault,Talisman,1.5 dCi Zen P.Business,Diesel,Dezembro,2017,86 630 km,1 461 cm3,110 cv,Sim,,,Sim,Sedan,Preto,Manual,4,5,Tracção dianteira,18 Meses,1,,Sim,Sim,Usados,18 490        EUR,8089390646,26 Junho 2023,,Metalizado,Sim,6,Classe 1,,Sim,,,,"154,12 €",,,,Sim,,,,
Profissional,Mercedes-Benz,A 160,d Urban,Diesel,Fevereiro,2018,82 799 km,1 461 cm3,90 cv,Sim,Sim,,Sim,Utilitário,Preto,Manual,5,5,Tracção dianteira,24 Meses,,Nacional,Sim,,Usados,21 490        EUR,8089853904,26 Junho 2023,"4,50 l/100km",Metalizado,Sim,6,Classe 1,102 g/km,Sim,"3,30 l/100km",,,,Classe A,,,Sim,,,,
Profissional,Renault,Mégane,1.5 Blue dCi Limited,Diesel,Junho,2019,109 000 km,1 461 cm3,115 cv,,Sim,,Sim,Utilitário,Cinzento,Manual,5,5,,18 Meses,1,Nacional,Sim,Sim,Usados,18 950        EUR,8089016871,26 Junho 2023,"4,60 l/100km",Metalizado,Sim,6,Classe 1,,Sim,,,,,,,03/06/2023,,,,,
Particular,Citroën,C4 Grand Picasso,1.6 HDi Exclusive CMP6,Diesel,Setembro,2010,285 000 km,1 560 cm3,110 cv,Sim,,,,Monovolume,Cinzento,Automática,5,7,,,2,Nacional,Sim,Sim,Usados,7 950        EUR,8088077545,26 Junho 2023,"6,20 l/100km",Metalizado,Sim,6,,,Sim,,,,,,,12/09/2023,,,,,
Particular,Mercedes-Benz,A 200 Limousine,d AMG Line Aut.,Diesel,Agosto,2020,44 300 km,1 950 cm3,150 cv,,,,Sim,Sedan,Branco,Automática,4,5,Tracção dianteira,,2,Importado,Sim,,Usados,40 500        EUR,8089905810,26 Junho 2023,"5,10 l/100km",,,8,Classe 1,,Sim,,,,235 €,Classe A,,06/08/2023,Sim,,,,
Profissional,Mercedes-Benz,C 300,h Avantgarde,Híbrido (Diesel),Janeiro,2017,99 000 km,2 143 cm3,231 cv,,Sim,,Sim,Carrinha,Cinzento,Automática,5,5,,18 Meses,1,Nacional,Sim,Sim,Usados,32 900        EUR,8088720066,26 Junho 2023,4 l/100km,Metalizado,Sim,,,99 g/km,,,,,,Classe C,,,Sim,,,,
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited,Gasolina,Agosto,2019,92 000 km,898 cm3,90 cv,,,,Sim,Carrinha,Cinzento,Manual,5,5,,18 Meses,,,,Sim,Usados,14 990        EUR,8089784113,26 Junho 2023,,,Sim,5,Classe 1,,Sim,,,,,,,01/08/2023,,,,,
Profissional,Renault,Captur,,Diesel,Julho,2018,148 000 km,1 461 cm3,90 cv,,,,Sim,SUV / TT,Castanho,Manual,5,5,,18 Meses,,,,Sim,Usados,15 990        EUR,8089784270,26 Junho 2023,,,Sim,5,Classe 1,,Sim,,,,,,,01/07/2024,,,,,
Particular,Kia,Optima SW,2.0 CVVT PHEV,Híbrido (Gasolina),Fevereiro,2019,99 000 km,1 999 cm3,205 cv,,,,,Carrinha,Outra,Automática,5,5,Tracção dianteira,,,Nacional,Sim,Sim,Usados,25 600        EUR,8089912389,26 Junho 2023,,Metalizado,,6,,34 g/km,Sim,,,,,,01/02/2025,01/02/2024,,150 000 km,,,
Profissional,Peugeot,308 SW,1.5 BlueHDi Style J17,Diesel,Maio,2019,84 000 km,1 499 cm3,102 cv,,Sim,,Sim,Carrinha,Cinzento,Manual,5,5,,18 Meses,1,Nacional,Sim,Sim,Usados,19 950        EUR,8088830098,26 Junho 2023,"4,40 l/100km",Metalizado,Sim,6,Classe 1,,Sim,,,,,,,17/05/2025,,,,,
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Março,2019,171 870 km,1 461 cm3,116 cv,Sim,Sim,,Sim,Utilitário,Cinzento,Automática,5,5,Tracção dianteira,18 Meses,,Nacional,Sim,,Usados,26 740        EUR,8089567709,26 Junho 2023,,Metalizado,Sim,,Classe 1,123 g/km,Sim,,,,,Classe A,,,,,,,
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure,Diesel,Maio,2017,150 000 km,1 560 cm3,120 cv,,,,Sim,Carrinha,Preto,Manual,5,5,Tracção dianteira,18 Meses,1,,Sim,Sim,Usados,13 990        EUR,8089848770,26 Junho 2023,"4,70 l/100km",Metalizado,,6,Classe 1,,Sim,,,,,,,,,,,,
Profissional,Hyundai,Ioniq,1.6 GDI HEV Hybrid Tech,Híbrido (Gasolina),Abril,2019,85 572 km,1 580 cm3,141 cv,Sim,Sim,,Sim,Utilitário,Cinzento,Automática,5,5,,18 Meses,,Nacional,Sim,,Usados,19 990        EUR,8089237372,26 Junho 2023,,,Sim,,,,Sim,,,,,,,,,,,,
Profissional,Nissan,Qashqai,1.5 dCi Tekna 19 Pele,Diesel,Junho,2018,110 000 km,1 461 cm3,110 cv,,Sim,,Sim,SUV / TT,Cinzento,Manual,5,6,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Usados,23 900        EUR,8084797885,26 Junho 2023,,Metalizado,Sim,6,Classe 1,103 g/km,Sim,,,,,,,24/06/2024,,,,,
Profissional,BMW,M3,Cabrio,Gasolina,Maio,2006,115 000 km,3 246 cm3,343 cv,Sim,,,Sim,Cabrio,Cinzento,Manual,2,4,Tracção traseira,18 Meses,,,Sim,Sim,Usados,59 999        EUR,8089792817,26 Junho 2023,"17,80 l/100km",Metalizado,Sim,6,,298 g/km,Sim,"8,40 l/100km",,,,Série 3,,,,,,,
Profissional,Nissan,GT-R,3.8 V6 Pack Prestige,Gasolina,Agosto,2016,30 000 km,3 799 cm3,570 cv,Sim,,,Sim,Coupé,Preto,Automática,3,4,Integral,18 Meses,,Nacional,Sim,Sim,Usados,149 999        EUR,8089772707,26 Junho 2023,"17,50 l/100km",Metalizado,Sim,6,Classe 1,325 g/km,Sim,"11,20 l/100km",,,,,,,,,,,
Profissional,Porsche,992,Carrera S PDK,Gasolina,Março,2019,25 000 km,2 981 cm3,450 cv,Sim,,,Sim,Coupé,Cinzento,Automática,2,4,Tracção traseira,18 Meses,,,Sim,Sim,Usados,169 999        EUR,8089792576,26 Junho 2023,"11,60 l/100km",Metalizado,Sim,8,,241 g/km,Sim,"7,60 l/100km",,,,911 (Todos),,,,,,,
Profissional,Toyota,Proace Verso,1.6 D-4D L2 1.2T Exclusive 9L,Diesel,Maio,2018,98 000 km,1 560 cm3,115 cv,,Sim,Sim,Sim,Monovolume,Preto,Manual,4,9,Tracção traseira,18 Meses,1,Nacional,Sim,Sim,Usados,37 950        EUR,8089628102,26 Junho 2023,"5,60 l/100km",Metalizado,Sim,6,Classe 1,137 g/km,Sim,5 l/100km,,,,,,08/05/2024,,,,,
Profissional,Peugeot,5008,1.5 BlueHDi GT Line EAT8,Diesel,Janeiro,2019,114 000 km,1 499 cm3,130 cv,,Sim,Sim,Sim,Monovolume,Preto,Automática,5,7,,18 Meses,1,Nacional,Sim,Sim,Usados,29 950        EUR,8089127021,26 Junho 2023,"4,40 l/100km",Metalizado,Sim,8,Classe 1,,Sim,,,,,,,31/01/2025,,,,,
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Março,2018,135 736 km,1 461 cm3,110 cv,Sim,,,Sim,Carrinha,Preto,Manual,5,5,Tracção dianteira,18 Meses,1,,Sim,Sim,Usados,16 300        EUR,8089154184,26 Junho 2023,,Metalizado,Sim,6,Classe 1,,Sim,,,,"154,12 €",,,,Sim,,,,
Profissional,Audi,A3 Limousine,1.6 TDi B.Line Attraction Ultra,Diesel,Fevereiro,2017,115 000 km,1 598 cm3,110 cv,,Sim,,Sim,Sedan,Cinzento,Manual,4,5,,18 Meses,1,Nacional,Sim,Sim,Usados,22 550        EUR,8085966385,26 Junho 2023,"3,90 l/100km",Metalizado,Sim,6,Classe 1,,Sim,,,,,,,28/02/2025,,,,,
Profissional,Porsche,Panamera,Turbo S PDK,Gasolina,Dezembro,2011,155 000 km,4 806 cm3,500 cv,,,Sim,Sim,Sedan,Preto,Automática,5,4,,18 Meses,,,Sim,Sim,Usados,49 900        EUR,8089910778,26 Junho 2023,,Metalizado,Sim,,Classe 1,,Sim,,,,,,,,,,,,
Profissional,Peugeot,208,1.6 BlueHDi Style,Diesel,Agosto,2018,125 882 km,1 560 cm3,100 cv,Sim,,,Sim,Citadino,Preto,Manual,5,5,Tracção dianteira,18 Meses,1,,Sim,Sim,Usados,13 480        EUR,8088036330,26 Junho 2023,,Metalizado,Sim,,Classe 1,,Sim,,,,"154,12 €",,,,Sim,,,,
Profissional,Peugeot,5008,1.5 BlueHDi Allure Pack EAT8,Diesel,Março,2022,36 944 km,1 499 cm3,130 cv,,,,Sim,SUV / TT,Cinzento,Automática,5,7,Tracção dianteira,18 Meses,,Nacional,,,Usados,44 950        EUR,8089299173,26 Junho 2023,,Metalizado,Sim,8,,,Sim,,,,,,,,,,,,
Profissional,Opel,Adam,1.2 Jam,Gasolina,Setembro,2016,147 719 km,1 229 cm3,70 cv,,,,Sim,Pequeno citadino,Laranja,Manual,3,4,Tracção dianteira,18 Meses,,,,Sim,Usados,11 850        EUR,8088186655,26 Junho 2023,,Metalizado,Sim,5,Classe 1,125 g/km,Sim,,,,,,,,,,,,
Profissional,Citroën,C1,1.2 VTi Feel,Gasolina,Julho,2016,77 286 km,1 199 cm3,82 cv,,,,Sim,Pequeno citadino,Vermelho,Manual,5,4,Tracção dianteira,18 Meses,,,,Sim,Usados,10 990        EUR,8088284676,26 Junho 2023,,,Sim,5,Classe 1,,Sim,,,,,,,,,,,,
Profissional,Mercedes-Benz,C 300,d AMG Line,Diesel,Março,2022,7 800 km,1 950 cm3,245 cv,Sim,,,Sim,Carrinha,Cinzento,Automática,5,,,36 Meses,,Nacional,,,Usados,59 999        EUR,8089787603,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,,,
Profissional,Mercedes-Benz,C 220,d Avantgarde,Diesel,Março,2022,25 400 km,1 992 cm3,200 cv,Sim,,,,Carrinha,Cinzento,Automática,5,5,,24 Meses,,Nacional,,,Usados,53 000        EUR,8089159410,26 Junho 2023,,,,,,,,,,,,Classe C,,,,,"4,70 l/100km",,
Profissional,Toyota,C-HR,1.2T Comfort+P.Style,Gasolina,Julho,2018,100 000 km,1 197 cm3,116 cv,Sim,,,Sim,SUV / TT,Prateado,Manual,5,5,Tracção dianteira,18 Meses,1,,Sim,Sim,Usados,19 995        EUR,8089584362,26 Junho 2023,"7,30 l/100km",Metalizado,Sim,6,Classe 1,155 g/km,Sim,"5,30 l/100km",,,,,,,,,,,
Profissional,SEAT,Arona,1.0 TSI FR,Gasolina,Abril,2022,20 050 km,999 cm3,110 cv,Sim,Sim,,,Utilitário,Cinzento,Manual,5,5,,36 Meses,,Nacional,,,Usados,22 190        EUR,8089516935,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,Skoda,Scala,1.0 TSI Ambition,Gasolina,Julho,2021,51 000 km,999 cm3,95 cv,Sim,Sim,,,Utilitário,Preto,Manual,5,5,,36 Meses,,Nacional,,,Usados,16 990        EUR,8089516910,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,VW,T-Cross,1.0 TSI Life,Gasolina,Maio,2019,36 786 km,999 cm3,95 cv,Sim,,,,SUV / TT,Branco,Manual,5,5,,18 Meses,,Nacional,,,Usados,19 990        EUR,8089516938,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,Audi,A3 Sportback,30 TFSI,Gasolina,Outubro,2020,33 035 km,999 cm3,116 cv,Sim,Sim,,,Utilitário,Cinzento,Manual,5,5,,36 Meses,,Nacional,,,Usados,22 990        EUR,8089516921,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,SEAT,Ibiza,1.0 TSI FR,Gasolina,Outubro,2019,49 800 km,999 cm3,115 cv,Sim,Sim,,,Utilitário,Preto,Manual,5,5,,36 Meses,,Nacional,,,Usados,17 990        EUR,8089516950,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,SEAT,Arona,1.0 TSI FR,Gasolina,Abril,2022,24 651 km,999 cm3,110 cv,Sim,Sim,,,Utilitário,Branco,Manual,5,5,,36 Meses,,Nacional,,,Usados,22 190        EUR,8089516906,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,VW,Polo,1.0 Confortline,Gasolina,Abril,2018,78 123 km,999 cm3,75 cv,Sim,,,,Utilitário,Preto,Manual,5,5,,18 Meses,,Nacional,,,Usados,13 990        EUR,8089516957,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Profissional,Toyota,Aygo,1.0 X-Play Plus,Gasolina,Janeiro,2021,10 700 km,998 cm3,72 cv,Sim,,,Sim,Citadino,Cinzento,Manual,5,4,,48 Meses,,,,Sim,Usados,14 690        EUR,8089300525,26 Junho 2023,,Metalizado,Sim,,Classe 1,118 g/km,Sim,,,,,,,,,,,,
Profissional,Peugeot,3008,1.6 Hybrid GT e-EAT8,Híbrido (Gasolina),Fevereiro,2021,53 900 km,1 598 cm3,225 cv,Sim,,,,SUV / TT,Branco,Automática,5,5,,36 Meses,,Nacional,,,Usados,39 990        EUR,8089516933,26 Junho 2023,,,,,,,,,,,,,26/06/2026,,,,"1,40 l/100km",,
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Business Edition,Diesel,Abril,2019,100 000 km,1 598 cm3,110 cv,Sim,Sim,,Sim,Carrinha,Cinzento,Manual,5,5,,18 Meses,,Nacional,,,Usados,18 900        EUR,8089516964,26 Junho 2023,,,Sim,,,,Sim,,,,,,,,,,,,
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Março,2019,69 350 km,1 598 cm3,115 cv,Sim,Sim,,,Carrinha,Branco,Manual,5,5,,18 Meses,,Nacional,,,Usados,20 290        EUR,8089516897,26 Junho 2023,,,,,,,,,,,,,,,,,,,
